standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,applicability,summary,official_url,source_download_url,notes
BCUC-EOP-002-2-1-12316,EOP-002-2.1,Capacity and Energy Emergencies,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Emergency Preparedness and Operations,effective date in source document,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for EOP-002-2.1: Capacity and Energy Emergencies.,https://www.wecc.org/wecc-document/12316,https://www.wecc.org/sites/default/files/documents/standards/2024/EOP-002-2.1%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-EOP-002-3-1-12326,EOP-002-3.1,Capacity and Energy Emergencies,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Emergency Preparedness and Operations,2014-08-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for EOP-002-3.1: Capacity and Energy Emergencies.,https://www.wecc.org/wecc-document/12326,https://www.wecc.org/sites/default/files/documents/standards/2024/EOP-002-3.1%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2014-08-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-EOP-003-1-12331,EOP-003-1,Load Shedding Plans,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Emergency Preparedness and Operations,2010-11-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for EOP-003-1: Load Shedding Plans.,https://www.wecc.org/wecc-document/12331,https://www.wecc.org/sites/default/files/documents/standards/2024/EOP-003-1%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2010-11-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-EOP-004-4-11306,EOP-004-4,Event Reporting,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Emergency Preparedness and Operations,2020-10-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for EOP-004-4: Event Reporting.,https://www.wecc.org/wecc-document/11306,https://www.wecc.org/sites/default/files/documents/standards/2024/EOP-004-4%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2020-10-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-EOP-005-2-12361,EOP-005-2,System Restoration from Blackstart Resources,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Emergency Preparedness and Operations,2015-08-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for EOP-005-2: System Restoration from Blackstart Resources.,https://www.wecc.org/wecc-document/12361,https://www.wecc.org/sites/default/files/documents/standards/2024/EOP-005-2%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2015-08-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-EOP-005-3-11311,EOP-005-3,System Restoration from Blackstart Resources,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Emergency Preparedness and Operations,2020-10-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for EOP-005-3: System Restoration from Blackstart Resources.,https://www.wecc.org/wecc-document/11311,https://www.wecc.org/sites/default/files/documents/standards/2024/EOP-005-3%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2020-10-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-EOP-006-2-12371,EOP-006-2,System Restoration Coordination,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Emergency Preparedness and Operations,2014-08-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for EOP-006-2: System Restoration Coordination.,https://www.wecc.org/wecc-document/12371,https://www.wecc.org/sites/default/files/documents/standards/2024/EOP-006-2%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2014-08-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-EOP-006-3-11316,EOP-006-3,System Restoration Coordination,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Emergency Preparedness and Operations,2020-10-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for EOP-006-3: System Restoration Coordination.,https://www.wecc.org/wecc-document/11316,https://www.wecc.org/sites/default/files/documents/standards/2024/EOP-006-3%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2020-10-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-EOP-008-1-12381,EOP-008-1,Loss of Control Center Functionality,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Emergency Preparedness and Operations,2015-08-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for EOP-008-1: Loss of Control Center Functionality.,https://www.wecc.org/wecc-document/12381,https://www.wecc.org/sites/default/files/documents/standards/2024/EOP-008-1%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2015-08-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-EOP-008-2-11321,EOP-008-2,Loss of Control Center Functionality,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Emergency Preparedness and Operations,2020-10-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for EOP-008-2: Loss of Control Center Functionality.,https://www.wecc.org/wecc-document/11321,https://www.wecc.org/sites/default/files/documents/standards/2024/EOP-008-2%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2020-10-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-EOP-009-0-12386,EOP-009-0,Documentation of Blackstart Generating Unit Test Results,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Emergency Preparedness and Operations,2010-11-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for EOP-009-0: Documentation of Blackstart Generating Unit Test Results.,https://www.wecc.org/wecc-document/12386,https://www.wecc.org/sites/default/files/documents/standards/2024/EOP-009-0%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2010-11-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-FAC-001-3-11161,FAC-001-3,Errata,BCUC,errata,Canada - British Columbia,BCUC mandatory reliability standard - Facilities Design Connections and Maintenance,2023-09-08,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard errata record for FAC-001-3: Errata.,https://www.wecc.org/wecc-document/11161,https://www.wecc.org/sites/default/files/documents/standards/2024/FAC-001-3_BC_errata.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2023-09-08. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-FAC-001-3-11376,FAC-001-3,Facility Interconnection Requirements,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Facilities Design Connections and Maintenance,2019-10-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for FAC-001-3: Facility Interconnection Requirements.,https://www.wecc.org/wecc-document/11376,https://www.wecc.org/sites/default/files/documents/standards/2024/FAC-001-3%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2019-10-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-FAC-002-3-11221,FAC-002-3,Facility Interconnection Studies,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Facilities Design Connections and Maintenance,2022-01-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for FAC-002-3: Facility Interconnection Studies.,https://www.wecc.org/wecc-document/11221,https://www.wecc.org/sites/default/files/documents/standards/2024/FAC-002-3_BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2022-01-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-FAC-003-4-12436,FAC-003-4,Transmission Vegetation Management,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Facilities Design Connections and Maintenance,2017-10-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for FAC-003-4: Transmission Vegetation Management.,https://www.wecc.org/wecc-document/12436,https://www.wecc.org/sites/default/files/documents/standards/2024/FAC-003-4%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2017-10-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-FAC-008-5-11171,FAC-008-5,Facility Ratings,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Facilities Design Connections and Maintenance,2023-04-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for FAC-008-5: Facility Ratings.,https://www.wecc.org/wecc-document/11171,https://www.wecc.org/sites/default/files/documents/standards/2024/FAC-008-5_BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2023-04-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-FAC-011-3-12486,FAC-011-3,System Operating Limits Methodology for the Operations Horizon,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Facilities Design Connections and Maintenance,2017-10-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for FAC-011-3: System Operating Limits Methodology for the Operations Horizon.,https://www.wecc.org/wecc-document/12486,https://www.wecc.org/sites/default/files/documents/standards/2024/FAC-011-3%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2017-10-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-FAC-014-2-12501,FAC-014-2,Establish and Communicate System Operating Limits,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Facilities Design Connections and Maintenance,2011-01-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for FAC-014-2: Establish and Communicate System Operating Limits.,https://www.wecc.org/wecc-document/12501,https://www.wecc.org/sites/default/files/documents/standards/2024/FAC-014-2%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2011-01-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-FAC-501-WECC-1-12506,FAC-501-WECC-1,Transmission Maintenance,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Facilities Design Connections and Maintenance,2013-04-15,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for FAC-501-WECC-1: Transmission Maintenance.,https://www.wecc.org/wecc-document/12506,https://www.wecc.org/sites/default/files/documents/standards/2024/FAC-501-WECC-1%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2013-04-15. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-INT-001-3-12511,INT-001-3,Interchange Information,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Interchange Scheduling and Coordination,2010-11-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for INT-001-3: Interchange Information.,https://www.wecc.org/wecc-document/12511,https://www.wecc.org/sites/default/files/documents/standards/2024/INT-001-3%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2010-11-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-INT-003-3-12521,INT-003-3,Interchange Transaction Implementation,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Interchange Scheduling and Coordination,2013-04-15,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for INT-003-3: Interchange Transaction Implementation.,https://www.wecc.org/wecc-document/12521,https://www.wecc.org/sites/default/files/documents/standards/2024/INT-003-3%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2013-04-15. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-INT-004-2-12526,INT-004-2,Dynamic Interchange Transaction Modifications,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Interchange Scheduling and Coordination,2010-11-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for INT-004-2: Dynamic Interchange Transaction Modifications.,https://www.wecc.org/wecc-document/12526,https://www.wecc.org/sites/default/files/documents/standards/2024/INT-004-2%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2010-11-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-INT-004-3-1-12531,INT-004-3.1,Dynamic Transfers,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Interchange Scheduling and Coordination,2015-10-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for INT-004-3.1: Dynamic Transfers.,https://www.wecc.org/wecc-document/12531,https://www.wecc.org/sites/default/files/documents/standards/2024/INT-004-3.1%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2015-10-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-INT-005-3-12541,INT-005-3,Interchange Authority Distributes Arranged Interchange,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Interchange Scheduling and Coordination,2011-10-30,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for INT-005-3: Interchange Authority Distributes Arranged Interchange.,https://www.wecc.org/wecc-document/12541,https://www.wecc.org/sites/default/files/documents/standards/2024/INT-005-3%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2011-10-30. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-INT-006-4-12556,INT-006-4,Evaluation of Interchange Transactions,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Interchange Scheduling and Coordination,2015-10-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for INT-006-4: Evaluation of Interchange Transactions.,https://www.wecc.org/wecc-document/12556,https://www.wecc.org/sites/default/files/documents/standards/2024/INT-006-4%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2015-10-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-INT-006-5-11211,INT-006-5,Evaluation of Interchange Transactions,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Interchange Scheduling and Coordination,2022-10-29,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for INT-006-5: Evaluation of Interchange Transactions.,https://www.wecc.org/wecc-document/11211,https://www.wecc.org/sites/default/files/documents/standards/2024/INT-006-5_BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2022-10-29. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-INT-007-1-12561,INT-007-1,Interchange Confirmation,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Interchange Scheduling and Coordination,2010-11-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for INT-007-1: Interchange Confirmation.,https://www.wecc.org/wecc-document/12561,https://www.wecc.org/sites/default/files/documents/standards/2024/INT-007-1%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2010-11-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-INT-008-3-12571,INT-008-3,Interchange Authority Distributes Status,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Interchange Scheduling and Coordination,2011-10-30,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for INT-008-3: Interchange Authority Distributes Status.,https://www.wecc.org/wecc-document/12571,https://www.wecc.org/sites/default/files/documents/standards/2024/INT-008-3%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2011-10-30. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-INT-009-2-1-12581,INT-009-2.1,Implementation of Interchange,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Interchange Scheduling and Coordination,2015-10-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for INT-009-2.1: Implementation of Interchange.,https://www.wecc.org/wecc-document/12581,https://www.wecc.org/sites/default/files/documents/standards/2024/INT-009-2.1%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2015-10-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-INT-009-3-11216,INT-009-3,Implementation of Interchcange,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Interchange Scheduling and Coordination,2022-10-29,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for INT-009-3: Implementation of Interchcange.,https://www.wecc.org/wecc-document/11216,https://www.wecc.org/sites/default/files/documents/standards/2024/INT-009-3_BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2022-10-29. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
BCUC-INT-010-2-1-12591,INT-010-2.1,Interchange Initiation and Modification for Reliability,BCUC,adopted_reliability_standard,Canada - British Columbia,BCUC mandatory reliability standard - Interchange Scheduling and Coordination,2015-10-01,Adopted or listed for application in British Columbia where applicable under the BCUC Mandatory Reliability Standards program,BCUC British Columbia reliability standard adoption/status record for INT-010-2.1: Interchange Initiation and Modification for Reliability.,https://www.wecc.org/wecc-document/12591,https://www.wecc.org/sites/default/files/documents/standards/2024/INT-010-2.1%20BC.pdf,Extracted from WECC Approved BC Standards table. WECC source effective date: 2015-10-01. WECC hosts the public table for BC reliability adoption/status records; BCUC is the British Columbia adoption authority. The underlying standard-making body is generally NERC or WECC.
