standard_id,designation,title,publisher,record_type,country_scope,primary_category,latest_known_edition,applicability,summary,official_url,notes
NFPA-110,NFPA 110,Standard for Emergency and Standby Power Systems,NFPA,standard,United States and Canada,Emergency and standby power,2025,"Referenced for emergency and standby power system classification, installation, testing, and maintenance","Public metadata record for emergency and standby power system references.",https://www.nfpa.org/codes-and-standards/nfpa-110-standard-development/110,Included because emergency power systems are core electrical/power infrastructure.
NFPA-111,NFPA 111,Standard on Stored Electrical Energy Emergency and Standby Power Systems,NFPA,standard,United States and Canada,Emergency and standby power,2025,"Referenced for stored-energy emergency and standby power systems","Public metadata record for stored electrical energy emergency and standby power references.",https://www.nfpa.org/codes-and-standards/nfpa-111-standard-development/111,Included because it directly addresses stored electrical energy systems.
NFPA-496,NFPA 496,Standard for Purged and Pressurized Enclosures for Electrical Equipment,NFPA,standard,United States and Canada,Hazardous classified locations,2027,"Referenced for electrical equipment enclosures in hazardous classified locations","Public metadata record for purged and pressurized electrical equipment enclosure references.",https://www.nfpa.org/codes-and-standards/nfpa-496-standard-development/496,Private PDF inventory and Drive links are intentionally excluded.
NFPA-497,NFPA 497,"Recommended Practice for the Classification of Flammable Liquids, Gases, or Vapors and of Hazardous (Classified) Locations for Electrical Installations in Chemical Process Areas",NFPA,recommended_practice,United States and Canada,Hazardous classified locations,2027,"Referenced for classifying hazardous locations for electrical installations in chemical process areas","Public metadata record for hazardous location classification involving flammable liquids, gases, and vapors.",https://www.nfpa.org/codes-and-standards/nfpa-497-standard-development/497,Private PDF inventory and Drive links are intentionally excluded.
NFPA-499,NFPA 499,Recommended Practice for the Classification of Combustible Dusts and of Hazardous (Classified) Locations for Electrical Installations in Chemical Process Areas,NFPA,recommended_practice,United States and Canada,Hazardous classified locations,2027,"Referenced for combustible dust classification and hazardous location review","Public metadata record for hazardous location classification involving combustible dusts.",https://www.nfpa.org/codes-and-standards/nfpa-499-standard-development/499,Private PDF inventory and Drive links are intentionally excluded.
NFPA-715,NFPA 715,Standard for the Installation of Fuel Gases Detection and Warning Equipment,NFPA,standard,United States and Canada,Detection and warning systems,2026,"Referenced for fuel gas detection and warning equipment installation","Public metadata record for electrically connected fuel-gas detection and warning systems.",https://www.nfpa.org/codes-and-standards/nfpa-715-standard-development/715,Not currently present in the local Drive folder at the time of review.
NFPA-720,NFPA 720,Standard for the Installation of Carbon Monoxide (CO) Detection and Warning Equipment,NFPA,standard,United States and Canada,Detection and warning systems,2015,"Legacy reference for carbon monoxide detection and warning equipment","Public metadata record for CO detection and warning equipment installation history.",https://www.nfpa.org/codes-and-standards/nfpa-720-standard-development/720,Legacy record; confirm current replacement path before using for new work.
NFPA-731,NFPA 731,Standard for the Installation of Premises Security Systems,NFPA,standard,United States and Canada,Security and low-voltage systems,2026,"Referenced for premises security system installation","Public metadata record for electrically connected premises security systems.",https://www.nfpa.org/codes-and-standards/nfpa-731-standard-development/731,Not currently present in the local Drive folder at the time of review.
NFPA-780,NFPA 780,Standard for the Installation of Lightning Protection Systems,NFPA,standard,United States and Canada,Lightning protection,2026,"Referenced for lightning protection system design, installation, inspection, and maintenance","Public metadata record for lightning protection system references.",https://www.nfpa.org/codes-and-standards/nfpa-780-standard-development/780,Private PDF inventory and Drive links are intentionally excluded.
NFPA-790,NFPA 790,Standard for Competency of Third-Party Field Evaluation Bodies,NFPA,standard,United States and Canada,Electrical equipment evaluation,R2024,"Referenced for competency of organizations performing field evaluations","Public metadata record for field evaluation body competency, commonly paired with unlabeled electrical equipment evaluation.",https://www.nfpa.org/codes-and-standards/nfpa-790-standard-development/790,Not currently present in the local Drive folder at the time of review.
NFPA-791,NFPA 791,Recommended Practice and Procedures for Unlabeled Electrical Equipment Evaluation,NFPA,recommended_practice,United States and Canada,Electrical equipment evaluation,R2024,"Referenced for field evaluation procedures for unlabeled electrical equipment","Public metadata record for unlabeled electrical equipment evaluation procedures.",https://www.nfpa.org/codes-and-standards/nfpa-791-standard-development/791,Not currently present in the local Drive folder at the time of review.
NFPA-850,NFPA 850,Standard for Fire Protection for Electric Generating Plants and High-Voltage Direct Current (HVDC) Converter Stations,NFPA,standard,United States and Canada,Power generation fire protection,2026,"Referenced for fire protection of electric generating plants and HVDC converter stations","Public metadata record for power plant and HVDC station fire protection references.",https://www.nfpa.org/codes-and-standards/nfpa-850-standard-development/850,Earlier editions were published as recommended practice; verify edition-specific document type during file-level audit.
NFPA-851,NFPA 851,Recommended Practice for Fire Protection for Hydroelectric Generating Plants,NFPA,recommended_practice,United States and Canada,Power generation fire protection,2010,"Historical reference for hydroelectric generating plant fire protection","Public metadata record for hydroelectric plant fire protection guidance.",https://www.nfpa.org/codes-and-standards/nfpa-851-standard-development/851,Historical record; verify current status before applying to new work.
NFPA-853,NFPA 853,Standard for the Installation of Stationary Fuel Cell Power Systems,NFPA,standard,United States and Canada,Fuel cell power systems,2025,"Referenced for stationary fuel cell power system installation","Public metadata record for stationary fuel cell power system installation and fire protection references.",https://www.nfpa.org/codes-and-standards/nfpa-853-standard-development/853,Not currently present in the local Drive folder at the time of review.
NFPA-855,NFPA 855,Standard for the Installation of Stationary Energy Storage Systems,NFPA,standard,United States and Canada,Energy storage systems,2026,"Referenced for stationary energy storage system installation and safety","Public metadata record for stationary energy storage system installation, commissioning, operation, and decommissioning references.",https://www.nfpa.org/codes-and-standards/nfpa-855-standard-development/855,Not currently present in the local Drive folder at the time of review.
NFPA-1078,NFPA 1078,Standard for Electrical Inspector Professional Qualifications,NFPA,standard,United States and Canada,Electrical inspection and safety,R2028,"Referenced for electrical inspector professional qualification criteria","Public metadata record for professional qualification requirements for electrical inspectors.",https://www.nfpa.org/codes-and-standards/nfpa-1078-standard-development/1078,Not currently present in the local Drive folder at the time of review.
